Numéro de la demande;Date de la demande;Siret du commerce;Nom de l’enseigne;Adresse du commerce;Installations demandées et dimensions;Arrondissement;Code Arrondissement;geo_point_2d
DSN15687;2021-07-02;;CAFE MARGERIDE;1 boulevard Auguste Blanqui 75013;Terrasse estivale sur trottoir face à la devanture (L=8,50m l=4,00m);13;75113;48.83070699995415,2.354412999347895
DSN16585;2021-07-05;;BOKAWA;94 boulevard Serurier 75019;Terrasse estivale sur trottoir face à la devanture (L=5,00m l=1,00m);19;75119;48.88354000035571,2.395022999801515
DSN16764;2021-07-05;;SAVEURS D¿ATIKA;14 rue des Tournelles 75004;Terrasse estivale sur trottoir face à la devanture (L=3,00m l=0,70m);4;75104;48.85440300002084,2.367379000678301
DSN16789;2021-07-05;;ISMAÏL;5 avenue Trudaine 75009;Contre-terrasse estivale sur stationnement (L=5,40m l=1,70m);9;75109;48.88168000029498,2.345952000045519
DSN15901;2021-07-03;;ISADORA;60 rue Jean jacques Rousseau 75001;Contre-terrasse estivale sur stationnement (L=8,00m l=1,80m);1;75101;48.86403799958017,2.343637000060609
DSN15918;2021-07-03;;AU PETIT THAI;10 rue du Roi de Sicile 75004;Terrasse estivale sur trottoir face à la devanture (L=8,00m l=9,00m);4;75104;48.85581099958871,2.360051000121148
DSN16053;2021-07-03;;CRÊPERIE MAD¿EO!;14 rue de Cadix 75015;Contre-terrasse estivale sur stationnement (L=8,00m l=1,70m);15;75115;48.833808999794364,2.289573000297605
DSN16086;2021-07-04;;SUSHI MOMIJI;43 rue de Maubeuge 75009;Contre-terrasse estivale sur stationnement (L=2,00m l=6,80m);9;75109;48.878895000004164,2.34656900032066
DSN16150;2021-07-04;;LE BISTROT GOURMAND;28 rue Guersant 75017;Contre-terrasse permanente sur stationnement (L=6,50m l=1,80m);17;75117;48.881402000226366,2.289456000524781
DSN16156;2021-07-04;;MANGE2BOUT;20 rue d'Assas 75006;Contre-terrasse estivale sur stationnement (L=9,00m l=2,00m);6;75106;48.84860600033098,2.328889000454026
DSN16182;2021-07-04;;DAYOU PATISSERIE;42 rue Breguet 75011;Contre-terrasse estivale sur stationnement (L=7,00m l=1,80m);11;75111;48.85835700006787,2.376137000104129
DSN16246;2021-07-04;;BARAQUAI;15 Quai de la Seine 75019;Contre-terrasse estivale sur stationnement (L=12,60m l=1,80m);19;75119;48.88482100018867,2.370660000591986
DSN16493;2021-07-05;;LE MURMURE FRACASSANT;108 rue de la Convention 75015;Terrasse estivale sur trottoir face à la devanture (L=9,00m l=1,90m);15;75115;48.841156000313696,2.287520999536299
DSN15130;2021-07-02;;ALLEY CONCEPT STREET _ TARTINES ET JUICE;2 rue Androuet 75018;Contre-terrasse estivale sur stationnement (L=19,00m l=1,20m);18;75118;48.88559800009985,2.338616999602309
DSN15180;2021-07-02;;LE BOUILLON BELGE;6 rue Planchat 75020;Contre-terrasse permanente sur stationnement (L=26,00m l=1,80m);20;75120;48.8521799998224,2.399293999848132
DSN15202;2021-07-02;;BIOSPHERE;47 rue de Laborde 75008;Contre-terrasse estivale sur stationnement (L=6,00m l=1,80m);8;75108;48.87548499968048,2.31780000051527
DSN15252;2021-07-02;;LE BOUQUET D'ALESIA;75 avenue du General Leclerc 75014;Contre-terrasse estivale sur trottoir face à la devanture (L=6,80m l=1,80m);14;75114;48.828071000038925,2.327361999493161
DSN15276;2021-07-02;;LA SALLE A MANGER;31 rue Juliette Dodu 75010;"Contre-terrasse estivale sur trottoir face à la devanture (L=8,00m l=1,00m) ; Contre-terrasse estivale sur trottoir face à la devanture (L=7,00m l=3,00m)";10;75110;48.87576699992633,2.368568999881968
DSN15407;2021-07-02;;LE MOZART;108 avenue Mozart 75016;Contre-terrasse estivale sur trottoir face à la devanture (L=5,00m l=1,90m);16;75116;48.850667999683914,2.267017000520009
DSN1376;2021-06-24;;FUXIA;25 rue des Martyrs 75009;Contre-terrasse estivale sur trottoir face à la devanture (L=6,25m l=0,90m);9;75109;48.87846300003017,2.339595000040739
DSN1418;2021-06-24;;L'ATELIER DU 17;96 rue Jouffroy d'Abbans 75017;Contre-terrasse estivale sur stationnement (L=2,20m l=1,70m);17;75117;48.882984000410545,2.303023999779107
DSN1537;2021-06-24;;DOSE MOUFFETARD;73 rue Mouffetard 75005;Contre-terrasse estivale sur voie piétonne (L=5,20m l=4,00m);5;75105;48.84221100037352,2.349834000301434
DSN3817;2021-06-24;;COMBAT;63 rue de Belleville 75019;Contre-terrasse estivale sur stationnement (L=10,00m l=1,70m);19;75119;48.873419000079416,2.38225599954798
DSN3829;2021-06-24;;LE CLOU DE PARIS;1 rue Danton 75006;Contre-terrasse estivale sur places et terre-pleins (L=18,50m l=12,50m);6;75106;48.852834999898015,2.342773999429554
DSN3912;2021-06-25;;SUSHI TOKYO;55 rue des Entrepreneurs 75015;Contre-terrasse estivale sur stationnement (L=6,00m l=1,60m);15;75115;48.84556600012732,2.288381999517989
DSN3913;2021-06-25;;CHEZ PAPA;85 avenue Gambetta 75020;Contre-terrasse estivale sur voie piétonne (L=13,00m l=1,20m);20;75120;48.865600999583954,2.398906999522028
DSN3954;2021-06-25;;LE 34;34 rue Leon 75018;"Contre-terrasse estivale sur stationnement (L=8,60m l=1,80m) ; Contre-terrasse estivale sur stationnement (L=8,00m l=1,80m)";18;75118;48.888856000293075,2.353674000078624
DSN4113;2021-06-25;;VALMYVILLE;56 rue de Lancry 75010;"Terrasse estivale sur trottoir face à la devanture (L=7,50m l=0,80m) ; Terrasse estivale sur trottoir face à la devanture (L=7,50m l=3,00m) ; Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=7,50m l=3,00m)";10;75110;48.872385000311716,2.363175999695264
DSN4120;2021-06-25;;LOUIE LOUIE;78 rue de Charonne 75011;"Contre-terrasse estivale sur trottoir désaxée par rapport à la devanture (L=0,60m l=0,05m) ; Contre-terrasse estivale sur stationnement (L=0,60m l=0,10m) ; Contre-terrasse estivale sur voie piétonne (L=1,40m l=1,20m)";11;75111;48.85350099967293,2.380310000405902
DSN4164;2021-06-25;;LE RELAIS DE LA TOUR;27 avenue de la Bourdonnais 75007;"Contre-terrasse estivale sur stationnement (L=7,80m l=1,75m) ; Contre-terrasse estivale sur trottoir face à la devanture (L=4,00m l=1,50m)";7;75107;48.85903099955827,2.298249999920688
DSN4229;2021-06-25;;HOLYBELLY;19 rue Lucien Sampaix 75010;Contre-terrasse estivale sur trottoir face à la devanture (L=5,00m l=0,60m);10;75110;48.87229699956035,2.360797000616796
DSN4279;2021-06-25;;MAISON DU CAVIAR;21 rue Quentin bauchart 75008;Contre-terrasse estivale sur stationnement (L=15,60m l=1,90m);8;75108;48.87049300038706,2.301650000667885
DSN2395;2021-06-24;;LE COMPTOIR DU RELAIS;9 Carrefour de l'Odeon 75006;Terrasse estivale sur trottoir face à la devanture (L=18,00m l=5,00m);6;75106;48.85188999999012,2.338865999481726
DSN2723;2021-06-24;;O¿TACOS;105 boulevard de Grenelle 75015;Contre-terrasse estivale sur stationnement (L=6,00m l=1,60m);15;75115;48.849519000031556,2.297198999848969
DSN3245;2021-06-24;;LE KLEBER;80 avenue Kleber 75116;Contre-terrasse estivale sur stationnement (L=15,00m l=1,80m);16;75116;48.8670279998959,2.28985499939169
DSN3706;2021-06-24;;DIRTY LEMON;24 rue de la Folie mericourt 75011;Contre-terrasse estivale sur trottoir face à la devanture (L=6,00m l=1,00m);11;75111;48.86265900028803,2.373535999357303
DSN41;2021-06-21;;LES SAISONS;52 rue Lamartine 75009;Contre-terrasse estivale sur stationnement (L=13,50m l=1,80m);9;75109;48.876670999652035,2.340078999644632
DSN498;2021-06-22;;BOTECO LAPA;48 rue de l'Echiquier 75010;Contre-terrasse permanente sur stationnement (L=7,70m l=1,80m);10;75110;48.8720239998871,2.348075999609415
DSN601;2021-06-22;;LE REGALIA;1 rue de la Convention 75015;Contre-terrasse estivale sur trottoir face à la devanture (L=10,00m l=1,50m);15;75115;48.845890000071535,2.27763599981777
DSN755;2021-06-22;;LE VIZIR;42 rue la Fayette 75009;Contre-terrasse estivale sur stationnement (L=7,50m l=1,50m);9;75109;48.874628000323504,2.339564000398971
DSN759;2021-06-22;;KENZA ALLAM;27 rue de Bruxelles 75009;Contre-terrasse estivale sur trottoir face à la devanture (L=10,00m l=1,80m);9;75109;48.88272099985118,2.328136000005734
DSN872;2021-06-23;;LE TAGADA BAR;40 rue des 3 Freres 75018;Contre-terrasse estivale sur stationnement (L=14,00m l=1,60m);18;75118;48.8852520001233,2.339662999755139
DSN946;2021-06-23;;Ô Q DE POULE;53 rue du Ruisseau 75018;Contre-terrasse estivale sur stationnement (L=10,50m l=1,80m);18;75118;48.89355500016764,2.340257000280202
DSN1135;2021-06-23;;BARDAKIS;11 rue Saint severin 75005;Terrasse estivale sur trottoir face à la devanture (L=6,70m l=1,00m);5;75105;48.852425000062546,2.344974000202807
DSN13622;2021-07-01;;KOETSU;42 rue Sainte anne 75002;Contre-terrasse estivale sur stationnement (L=6,00m l=1,80m);2;75102;48.86719700033636,2.336048000080258
DSN13655;2021-07-01;;PICCOLA TOSCANA;10 rue Rochambeau 75009;"Contre-terrasse estivale sur aire piétonne provisoire (L=6,00m l=2,00m) ; Contre-terrasse estivale sur trottoir désaxée par rapport à la devanture (L=8,00m l=1,50m)";9;75109;48.87728700027497,2.346107000067689
DSN13667;2021-07-01;;LE BOUQUET DES ARCHIVES;31 rue des Archives 75004;Contre-terrasse permanente sur stationnement (L=15,00m l=1,50m);4;75104;48.8593179996853,2.355951999397996
DSN13703;2021-07-01;;ADEMI;3 rue Bachaumont 75002;Terrasse estivale sur trottoir face à la devanture (L=15,00m l=5,00m);2;75102;48.86585099997086,2.346532000073063
DSN13862;2021-07-01;;QUINSOU;33 rue de l'Abbe Gregoire 75006;Contre-terrasse estivale sur stationnement (L=6,00m l=1,70m);6;75106;48.847656999643746,2.325494999464774
DSN13959;2021-07-01;;PETIT SQUARE;24 rue Saint ambroise 75011;"Contre-terrasse estivale sur stationnement (L=14,50m l=1,80m) ; Contre-terrasse estivale sur stationnement (L=5,00m l=1,80m)";11;75111;48.862645999878225,2.378584000127344
DSN13969;2021-07-01;;COX;15 rue des Archives 75004;Terrasse estivale sur trottoir face à la devanture (L=10,00m l=9,00m);4;75104;48.85826499990371,2.354882999663206
DSN14771;2021-07-01;;MONSIEUR MADAME;35 avenue des Ternes 75017;Contre-terrasse estivale sur trottoir face à la devanture (L=5,00m l=2,45m);17;75117;48.87853399965423,2.293940999715342
DSN14078;2021-07-01;;CHEZ HUANG;19 avenue de la Republique 75011;Terrasse estivale sur trottoir face à la devanture (L=3,70m l=1,80m);11;75111;48.86616899960732,2.3705620003250463
